Date,Consumption,Production,Battery Charging,Battery Discharging,"Battery 
BYD B-BOX H with Kostal PLENTICORE plus and Energy Manager - SOC","Inverter 
Kostal PLENTICORE plus - currentPower 
","Inverter
Kostal PLENTICORE plus - activeDevice 
","Smart Meter 
KOSTAL EM - currentPower 
","Smart Meter 
KOSTAL EM - activeDevice 
","Energy Measurement 
Zählerschrank - currentPower 
","Energy Measurement 
Zählerschrank - activeDevice 
","Energy Measurement 
Wärmepumpe Innen - currentPower 
","Energy Measurement 
Wärmepumpe Innen - activeDevice 
","Energy Measurement 
Wärmepumpe Außen - currentPower 
","Energy Measurement 
Wärmepumpe Außen - activeDevice 
","Car Charging 
KEBA Wallbox P30 - currentPower 
","Car Charging 
KEBA Wallbox P30 - activeDevice 
"
2025-06-03T18:45:00+02:00,297,932,0,24,97,938.33,1,-659.67,1,-659.33,1,6,1,7,1,0,0
2025-06-03T19:00:00+02:00,212,1308,0,24,97,1308,1,-1112.67,1,-1102.33,1,6,1,7,1,0,0
2025-06-03T19:15:00+02:00,1495,954,147,726,96,954.33,1,-29.33,1,-31,1,5.33,1,7,1,0,0
2025-06-03T19:30:00+02:00,1056,591,104,580,95,592.33,1,-10,1,3.67,1,5.67,1,7,1,0,0
2025-06-03T19:45:00+02:00,1136,794,34,350,95,791.67,1,0.67,1,3.33,1,6,1,7,1,0,0
2025-06-03T20:00:00+02:00,737,428,7,318,94,425,1,-3,1,-8.33,1,6,1,7,1,0,0
2025-06-03T20:15:00+02:00,613,248,0,362,92,246.33,1,-8,1,1.33,1,6,1,7,1,0,0
2025-06-03T20:30:00+02:00,759,143,0,607,92,144.33,1,-13.33,1,-10,1,6,1,7,1,0,0
2025-06-03T20:45:00+02:00,1848,65,0,1783,87,66.67,1,0.67,1,4.67,1,5.33,1,7,1,0,0
2025-06-03T21:00:00+02:00,312,23,0,277,85,24,1,-5.33,1,-15,1,6,1,7,1,0,0
2025-06-03T21:15:00+02:00,380,2,0,391,84,0,0,-15,1,-16,1,6,1,7,1,0,0
2025-06-03T21:30:00+02:00,379,1,0,368,84,0.33,1,-12.33,1,10.67,1,6,1,7,1,0,0
2025-06-03T21:45:00+02:00,366,0,0,373,83,0,0,-4.33,1,4,1,6,1,7,1,0,0
2025-06-03T22:00:00+02:00,357,0,0,353,82,0.33,1,-5.33,1,0,1,6,1,7,1,0,0
2025-06-03T22:15:00+02:00,534,1,0,518,81,0,0,3.67,1,-0.33,1,18.67,1,234,1,0,0
2025-06-03T22:30:00+02:00,3038,0,0,3019,76,0,0,22.67,1,-9,1,31.67,1,2613.33,1,0,0
2025-06-03T22:45:00+02:00,3278,0,0,3280,67,0,0,-7.67,1,-13.67,1,48.33,1,2836.33,1,0,0
2025-06-03T23:00:00+02:00,1057,0,0,1049,62,0,0,-3,1,1.67,1,21.67,1,644,1,0,0
2025-06-03T23:15:00+02:00,311,0,0,314,61,0,0,4.33,1,5.33,1,6,1,7,1,0,0
2025-06-03T23:30:00+02:00,419,0,0,403,60,0,0,-0.67,1,-5.33,1,6,1,7,1,0,0
2025-06-03T23:45:00+02:00,476,0,0,345,59,0,0,-4,1,-4,1,6,1,7,1,0,0
2025-06-04T00:00:00+02:00,477,0,0,233,59,0,0,-3.67,1,-14.67,1,6,1,7,1,0,0
2025-06-04T00:15:00+02:00,321,0,0,165,59,0,0,-17.67,1,-9,1,6,1,7,1,0,0
2025-06-04T00:30:00+02:00,364,0,0,189,58,0,0,-5.67,1,-8.67,1,6,1,7,1,0,0
2025-06-04T00:45:00+02:00,425,0,0,215,58,0,0,-11,1,-36,1,6,1,7,1,0,0
2025-06-04T01:00:00+02:00,426,0,0,221,58,0,0,-8.67,1,-31,1,6,1,7,1,0,0
2025-06-04T01:15:00+02:00,370,0,0,183,57,0,0,-15.33,1,-18.33,1,6,1,7,1,0,0
2025-06-04T01:30:00+02:00,358,0,0,191,57,0,0,-6.67,1,-16.33,1,6,1,7,1,0,0
2025-06-04T01:45:00+02:00,433,0,0,226,56,0,0,-14.67,1,-34.67,1,6,1,7,1,0,0
2025-06-04T02:00:00+02:00,433,0,0,221,56,0,0,-8.67,1,-0.33,1,6,1,7,1,0,0
2025-06-04T02:15:00+02:00,354,0,0,182,56,0,0,-24,1,-21.33,1,6,1,7,1,0,0
2025-06-04T02:30:00+02:00,358,0,0,187,55,0,0,-6,1,-5.33,1,6,1,7,1,0,0
2025-06-04T02:45:00+02:00,427,0,0,219,55,0,0,-6.33,1,0.67,1,6,1,7,1,0,0
2025-06-04T03:00:00+02:00,411,0,0,209,54,0,0,-8.33,1,-9,1,6,1,7,1,0,0
2025-06-04T03:15:00+02:00,316,0,0,169,54,0,0,-11.33,1,-16.67,1,6,1,7,1,0,0
2025-06-04T03:30:00+02:00,355,0,0,182,54,0,0,-17,1,-24.33,1,6,1,7,1,0,0
2025-06-04T03:45:00+02:00,452,0,0,227,53,0,0,-11,1,5.67,1,6,1,7,1,0,0
2025-06-04T04:00:00+02:00,443,0,0,223,53,0,0,-16.33,1,-19.33,1,6,1,7,1,0,0
2025-06-04T04:15:00+02:00,312,0,0,164,53,0,0,-7.67,1,-9,1,6,1,7,1,0,0
2025-06-04T04:30:00+02:00,378,1,0,187,52,4,1,-11.33,1,-10.33,1,6,1,7,1,0,0
2025-06-04T04:45:00+02:00,453,0,0,225,52,11.33,1,-13,1,2,1,6,1,7,1,0,0
2025-06-04T05:00:00+02:00,411,0,0,212,51,10,1,-14.33,1,-43,1,6,1,7,1,0,0
2025-06-04T05:15:00+02:00,315,1,0,155,51,7.33,1,-11.33,1,-17.33,1,6,1,7,1,0,0
2025-06-04T05:30:00+02:00,380,0,0,194,51,8.33,1,-16,1,-9.33,1,6,1,7,1,0,0
2025-06-04T05:45:00+02:00,417,4,0,208,50,8.67,1,-12,1,-20.33,1,6,1,7,1,0,0
2025-06-04T06:00:00+02:00,273,42,0,127,50,60,1,-5.67,1,-4.33,1,6,1,7,1,0,0
2025-06-04T06:15:00+02:00,286,0,0,149,50,2.67,1,-6.33,1,-16.67,1,6,1,7,1,0,0
2025-06-04T06:30:00+02:00,402,2,0,208,49,2,1,-12.67,1,-28.33,1,6,1,7,1,0,0
2025-06-04T06:45:00+02:00,392,2,0,201,49,4.33,1,-14.33,1,-20.67,1,6,1,7,1,0,0
2025-06-04T07:00:00+02:00,285,3,0,144,49,18,1,0.33,1,-38.33,1,6,1,7,1,0,0
2025-06-04T07:15:00+02:00,220,33,0,103,48,43,1,-1,1,-14.33,1,6,1,7,1,0,0
2025-06-04T07:30:00+02:00,311,430,123,76,48,424.33,1,4,1,-16,1,6,1,7,1,0,0
2025-06-04T07:45:00+02:00,628,737,325,219,48,702,1,-26.33,1,-91,1,6,1,7,1,0,0
2025-06-04T08:00:00+02:00,3,796,494,0,49,722,1,-11.33,1,-11.33,1,6,1,7,1,0,0
2025-06-04T08:15:00+02:00,0,829,549,0,50,763.33,1,-6.33,1,-2,1,6,1,7,1,0,0
2025-06-04T08:30:00+02:00,56,521,222,0,51,483.67,1,26.67,1,28.33,1,6,1,7,1,0,0
2025-06-04T08:45:00+02:00,35,504,242,0,51,471.33,1,240,1,120,1,6,1,7,1,0,0
2025-06-04T09:00:00+02:00,0,1052,714,0,52,980.67,1,162.67,1,-178,1,6,1,7,1,0,0
2025-06-04T09:15:00+02:00,126,1110,668,0,53,1065.67,1,-159.33,1,-157.67,1,6,1,7,1,0,0
2025-06-04T09:30:00+02:00,214,1520,795,0,55,1520,1,-510,1,-511.33,1,6,1,7,1,0,0
2025-06-04T09:45:00+02:00,227,2177,795,0,57,2176.33,1,-1153,1,-1138,1,6,1,61,1,0,0
2025-06-04T10:00:00+02:00,535,3235,1566,0,60,3235,1,-1158.67,1,-1162,1,6,1,71.33,1,0,0
2025-06-04T10:15:00+02:00,379,3935,1772,0,64,3934.67,1,-1799,1,-1768.67,1,6,1,43.67,1,0,0
2025-06-04T10:30:00+02:00,207,3380,1815,0,68,3380.33,1,-1365,1,-1351.67,1,6,1,7,1,0,0
2025-06-04T10:45:00+02:00,196,1869,1476,0,72,1868.33,1,-191.33,1,-200,1,6,1,7,1,0,0
2025-06-04T11:00:00+02:00,180,1975,1275,0,75,1974.67,1,-517.33,1,-512,1,6,1,7,1,0,0
2025-06-04T11:15:00+02:00,206,905,659,0,77,905.33,1,-33.33,1,-41.67,1,6,1,7,1,0,0
2025-06-04T11:30:00+02:00,307,582,319,46,78,582,1,2.33,1,-1.33,1,6,1,7,1,0,0
2025-06-04T11:45:00+02:00,1154,3578,149,0,79,3578.33,1,-2265,1,-3006.33,1,6,1,14.67,1,0,0
2025-06-04T12:00:00+02:00,1239,4026,100,0,80,4025.67,1,-2678.33,1,-2984,1,7.33,1,71.33,1,0,0
2025-06-04T12:15:00+02:00,918,5340,289,0,81,5343.33,1,-4113.67,1,-4880,1,6,1,40.33,1,0,0
2025-06-04T12:30:00+02:00,1107,6053,848,9,82,5943.67,1,-3736,1,-4212,1,6,1,7,1,0,0
2025-06-04T12:45:00+02:00,4024,5328,325,439,82,5361,1,-1553.67,1,-1546,1,6,1,7,1,0,0
2025-06-04T13:00:00+02:00,3425,4944,61,51,81,4943.67,1,-1504.33,1,-1009,1,6,1,7,1,0,0
2025-06-04T13:15:00+02:00,2688,4189,56,0,77,4188.67,1,-1437.67,1,-1350,1,6,1,7,1,0,0
2025-06-04T13:30:00+02:00,1344,5246,372,0,77,5245.5,1,-3688.5,1,-3655.25,1,6,1,7,1,0,0
2025-06-04T13:45:00+02:00,3648,4855,469,0,77,4855,1,-785.67,1,-782.33,1,6,1,7,1,0,0
2025-06-04T14:00:00+02:00,4915,6165,624,49,79,6165,1,-669.67,1,-664.33,1,25.67,1,1073.33,1,0,0
2025-06-04T14:15:00+02:00,8825,4734,0,1988,77,4733.67,1,2096,1,2076,1,39,1,2741.33,1,0,0
2025-06-04T14:30:00+02:00,8891,2936,0,2892,74,2936.33,1,3054.33,1,3041.33,1,43.33,1,1964,1,0,0
2025-06-04T14:45:00+02:00,5842,1254,145,2357,71,1253.67,1,2275.67,1,2263.67,1,6,1,7,1,0,0
2025-06-04T15:00:00+02:00,0,3942,3177,0,72,3942,1,-3513.5,1,-3490.5,1,6,1,7,1,0,0
2025-06-04T15:15:00+02:00,260,1404,922,64,74,1404,1,-959.67,1,-939.67,1,6,1,7,1,0,0
2025-06-04T15:30:00+02:00,5,902,553,0,75,901.67,1,-674.67,1,-640.67,1,6,1,7,1,0,0
2025-06-04T15:45:00+02:00,0,1531,1129,0,76,1531.33,1,-1298.67,1,-1272.67,1,6,1,7,1,0,0
2025-06-04T16:00:00+02:00,70,1074,779,1,77,1073.75,1,-726.25,1,-694.25,1,6,1,7,1,0,0
2025-06-04T16:15:00+02:00,423,94,31,347,77,93.67,1,6.33,1,1,1,6,1,7,1,0,0
2025-06-04T16:30:00+02:00,508,93,0,416,75,95.67,1,-10,1,2,1,6,1,7,1,0,0
2025-06-04T16:45:00+02:00,363,637,277,0,75,640,1,-9.67,1,-7.33,1,6,1,7,1,0,0
2025-06-04T17:00:00+02:00,387,483,156,54,76,479.33,1,2.67,1,1.67,1,6,1,7,1,0,0
2025-06-04T17:15:00+02:00,407,128,0,280,75,126.33,1,-7,1,-8.33,1,6,1,7,1,0,0
2025-06-04T17:30:00+02:00,429,40,0,375,74,40.33,1,2,1,5.33,1,6,1,7,1,0,0
2025-06-04T17:45:00+02:00,391,57,0,346,73,54.33,1,2.33,1,9.67,1,6,1,7,1,0,0
2025-06-04T18:00:00+02:00,386,262,9,133,73,262.67,1,-7,1,-20,1,6,1,7,1,0,0
2025-06-04T18:15:00+02:00,999,416,8,576,72,417.67,1,5,1,-2.33,1,6,1,7,1,0,0
2025-06-04T18:30:00+02:00,1728,558,0,1167,70,555.33,1,-8.33,1,6,1,6,1,7,1,0,0
2025-06-04T18:45:00+02:00,2358,878,0,1481,66,879.33,1,8.33,1,-6.67,1,6,1,7,1,0,0
2025-06-04T19:00:00+02:00,423,591,202,45,65,593.67,1,8.33,1,2,1,6,1,7,1,0,0
2025-06-04T19:15:00+02:00,413,396,62,85,65,396,1,16.67,1,11,1,6,1,7,1,0,0
2025-06-04T19:30:00+02:00,486,283,0,187,65,279.33,1,8.33,1,4.67,1,6,1,7,1,0,0
2025-06-04T19:45:00+02:00,453,187,0,260,64,181,1,13.33,1,-3.33,1,6,1,7,1,0,0
2025-06-04T20:00:00+02:00,383,145,0,223,63,137.33,1,4,1,4,1,6,1,7,1,0,0
2025-06-04T20:15:00+02:00,380,122,0,264,63,120.33,1,-15.33,1,2.67,1,6,1,7,1,0,0
2025-06-04T20:30:00+02:00,378,90,0,284,62,84.67,1,-4,1,8.33,1,6,1,7,1,0,0
2025-06-04T20:45:00+02:00,296,10,0,278,61,10.33,1,-10,1,-7,1,6,1,7,1,0,0
2025-06-04T21:00:00+02:00,357,5,0,332,61,1.33,1,2.67,1,-10.67,1,6,1,7,1,0,0
2025-06-04T21:15:00+02:00,391,1,0,389,60,0.67,1,1.33,1,-15.67,1,6,1,7,1,0,0
2025-06-04T21:30:00+02:00,325,2,0,328,59,0.33,1,-13,1,0.67,1,6,1,7,1,0,0
2025-06-04T21:45:00+02:00,326,0,0,312,58,0.67,1,12.33,1,11,1,6,1,7,1,0,0
2025-06-04T22:00:00+02:00,374,0,0,366,57,0.33,1,10,1,6.67,1,6,1,7,1,0,0
2025-06-04T22:15:00+02:00,352,0,0,347,56,0,0,-0.67,1,-11.33,1,6,1,7,1,0,0
2025-06-04T22:30:00+02:00,348,0,0,337,55,0,0,-14,1,-10,1,6,1,7,1,0,0
2025-06-04T22:45:00+02:00,362,0,0,352,54,0,0,18.67,1,14.33,1,6,1,7,1,0,0
2025-06-04T23:00:00+02:00,329,0,0,325,53,0,0,-2.33,1,4.33,1,6,1,7,1,0,0
2025-06-04T23:15:00+02:00,265,0,0,264,52,0,0,-12.67,1,2.33,1,6,1,7,1,0,0
2025-06-04T23:30:00+02:00,180,0,0,175,52,0,0,-10.67,1,-7,1,6,1,7,1,0,0
2025-06-04T23:45:00+02:00,244,0,0,236,51,0,0,-5.33,1,-10.67,1,6,1,7,1,0,0
2025-06-05T00:00:00+02:00,234,0,0,212,50,0,0,-0.33,1,14,1,6,1,7,1,0,0
2025-06-05T00:15:00+02:00,236,0,0,227,50,0,0,6,1,-0.67,1,6,1,7,1,0,0
2025-06-05T00:30:00+02:00,182,0,0,179,49,0,0,-1.33,1,-2.67,1,6,1,7,1,0,0
2025-06-05T00:45:00+02:00,250,0,0,247,49,0,0,9,1,4,1,6,1,7,1,0,0
2025-06-05T01:00:00+02:00,282,0,0,259,48,0,0,18,1,-0.33,1,6,1,7,1,0,0
2025-06-05T01:15:00+02:00,220,0,0,229,47,0,0,-1,1,1,1,6,1,7,1,0,0
2025-06-05T01:30:00+02:00,180,0,0,178,47,0,0,-4.33,1,-4.33,1,6,1,7,1,0,0
2025-06-05T01:45:00+02:00,228,0,0,208,46,0,0,6,1,-0.33,1,5.67,1,7,1,0,0
2025-06-05T02:00:00+02:00,304,0,0,308,46,0,0,12.33,1,-2,1,5,1,7,1,0,0
2025-06-05T02:15:00+02:00,219,0,0,202,45,0,0,-8.67,1,0.67,1,5,1,7,1,0,0
2025-06-05T02:30:00+02:00,273,0,0,268,44,0,0,-9,1,1.33,1,5,1,7,1,0,0
2025-06-05T02:45:00+02:00,243,0,0,233,43,0,0,-9.67,1,-4,1,5,1,7,1,0,0
2025-06-05T03:00:00+02:00,251,0,0,235,43,0,0,-9,1,1,1,5,1,7,1,0,0
2025-06-05T03:15:00+02:00,231,0,0,233,42,0,0,-18,1,12,1,5,1,7,1,0,0
2025-06-05T03:30:00+02:00,149,0,0,157,42,0,0,-2.33,1,-5,1,5,1,7,1,0,0
2025-06-05T03:45:00+02:00,233,0,0,222,41,0,0,4.33,1,13.33,1,5,1,7,1,0,0
2025-06-05T04:00:00+02:00,242,0,0,230,41,0,0,8.67,1,-8,1,5,1,7,1,0,0
2025-06-05T04:15:00+02:00,232,0,0,237,40,0,0,1.33,1,-7.67,1,5,1,7,1,0,0
2025-06-05T04:30:00+02:00,236,1,0,202,39,0,0,22.67,1,-1.67,1,5,1,7,1,0,0
2025-06-05T04:45:00+02:00,186,0,0,194,39,0.33,1,2.67,1,13.67,1,5,1,7,1,0,0
2025-06-05T05:00:00+02:00,287,1,0,289,38,0,0,-7.33,1,-8,1,5,1,60.67,1,0,0
2025-06-05T05:15:00+02:00,277,2,0,262,37,0.33,1,5,1,15.33,1,10,1,39,1,0,0
2025-06-05T05:30:00+02:00,2171,0,0,2169,34,0,0,4,1,2,1,26.67,1,1963.33,1,0,0
2025-06-05T05:45:00+02:00,3030,0,0,3024,27,0,0,-6.33,1,2.67,1,40.33,1,2814.67,1,0,0
2025-06-05T06:00:00+02:00,1637,22,0,1606,21,23,1,-4.67,1,-15.33,1,31.33,1,1375,1,0,0
2025-06-05T06:15:00+02:00,352,149,0,193,20,149,1,3.67,1,-0.33,1,25.33,1,140.33,1,0,0
2025-06-05T06:30:00+02:00,895,236,0,648,19,236.67,1,0,0,-1,1,15.33,1,730.33,1,0,0
2025-06-05T06:45:00+02:00,2167,322,0,1844,15,321.67,1,4.33,1,-2.33,1,22.33,1,2071.33,1,0,0
2025-06-05T07:00:00+02:00,744,262,0,540,12,264.33,1,-70.33,1,-68.67,1,14,1,533,1,0,0
2025-06-05T07:15:00+02:00,216,436,0,28,12,439.33,1,-257.33,1,-225,1,10.67,1,7,1,0,0
2025-06-05T07:30:00+02:00,189,1025,0,19,12,1025.33,1,-864.67,1,-857.67,1,10,1,7,1,0,0
2025-06-05T07:45:00+02:00,1151,1041,0,538,12,1038.33,1,-438,1,-456.33,1,24.33,1,444.67,1,0,0
2025-06-05T08:00:00+02:00,721,978,0,41,11,975,1,-316,1,-315,1,12.67,1,527,1,0,0
2025-06-05T08:15:00+02:00,209,967,0,25,11,969.67,1,-779,1,-776.67,1,10.33,1,7,1,0,0
2025-06-05T08:30:00+02:00,190,1616,0,26,11,1619,1,-1439.33,1,-1443,1,10,1,7,1,0,0
2025-06-05T08:45:00+02:00,153,2073,0,26,11,2084.33,1,-1944,1,-1938.67,1,10,1,7,1,0,0
2025-06-05T09:00:00+02:00,188,2283,0,27,11,2282,1,-2105.67,1,-2083.67,1,10,1,7,1,0,0
2025-06-05T09:15:00+02:00,1000,1952,0,24,10,1944.67,1,-950,1,-946,1,23.67,1,325,1,0,0
2025-06-05T09:30:00+02:00,876,3233,0,16,10,3246,1,-2370,1,-2355,1,13,1,688,1,0,0
2025-06-05T09:45:00+02:00,348,4334,6,0,10,4334,1,-3975.67,1,-3944,1,11.33,1,194.67,1,0,0
2025-06-05T10:00:00+02:00,249,5378,2,0,10,5377.67,1,-5146,1,-5115.67,1,10,1,7,1,0,0
2025-06-05T10:15:00+02:00,269,778,0,6,10,778,1,-527.67,1,-519.67,1,10,1,7,1,0,0
2025-06-05T10:30:00+02:00,317,3853,0,0,10,3853.33,1,-3546,1,-3524.33,1,10,1,7,1,0,0
2025-06-05T10:45:00+02:00,243,3857,0,0,10,3857.33,1,-3610.67,1,-3604,1,10,1,7,1,0,0
2025-06-05T11:00:00+02:00,257,5628,2546,0,14,5627.67,1,-2845.67,1,-2802.33,1,10,1,7,1,0,0
2025-06-05T11:15:00+02:00,287,7234,3379,0,22,7233.75,1,-3593.5,1,-3575.25,1,10,1,7,1,0,0
2025-06-05T11:30:00+02:00,2121,4601,2406,748,27,4600.67,1,-829,1,-832.67,1,25,1,702,1,0,0
2025-06-05T11:45:00+02:00,710,5693,3368,0,34,5692.67,1,-1610,1,-1601.33,1,13,1,502.33,1,0,0
2025-06-05T12:00:00+02:00,2200,4576,537,133,38,4576,1,-1990.33,1,-1972,1,10.67,1,96.33,1,0,0
2025-06-05T12:15:00+02:00,3588,3385,0,1303,37,3384.5,1,-1108.5,1,-1124.5,1,10,1,7,1,0,0
2025-06-05T12:30:00+02:00,3654,6295,0,290,35,6294.67,1,-2936,1,-2928.33,1,10,1,7,1,0,0
2025-06-05T12:45:00+02:00,406,2355,0,18,35,2355,1,-1970.67,1,-1966.33,1,10,1,7,1,0,0
2025-06-05T13:00:00+02:00,238,778,287,0,35,778,1,-248,1,-240.33,1,10,1,7,1,0,0
2025-06-05T13:15:00+02:00,646,685,318,276,36,685,1,5.67,1,-5,1,10,1,7,1,0,0
2025-06-05T13:30:00+02:00,957,983,117,70,36,983,1,18.75,1,5,1,21.75,1,666,1,0,0
2025-06-05T13:45:00+02:00,1907,1629,241,34,37,1629.33,1,483.33,1,-438,1,13,1,530.33,1,0,0
2025-06-05T14:00:00+02:00,3592,2466,0,65,38,2465.33,1,1054,1,-1768.67,1,11.33,1,180.67,1,0,0
2025-06-05T14:15:00+02:00,3581,5025,153,0,41,5024.67,1,-1284.67,1,-3182,1,10,1,7,1,0,0
2025-06-05T14:30:00+02:00,3521,5571,231,0,45,5571,1,-1812.33,1,-2383.33,1,10,1,7,1,0,0
2025-06-05T14:45:00+02:00,891,2735,1909,0,49,2735.33,1,72.67,1,3,1,10,1,7,1,0,0
2025-06-05T15:00:00+02:00,853,1218,619,13,51,1218,1,246,1,-206.33,1,10,1,7,1,0,0
2025-06-05T15:15:00+02:00,395,1904,1502,0,54,1904.33,1,-1,1,-5.67,1,10,1,7,1,0,0
2025-06-05T15:30:00+02:00,576,3000,2413,0,59,2999.67,1,-3.33,1,-1.67,1,10,1,7,1,0,0
2025-06-05T15:45:00+02:00,729,2350,1621,0,64,2349.67,1,8,1,-1.33,1,24.33,1,385.67,1,0,0
2025-06-05T16:00:00+02:00,984,2427,1438,0,67,2426.67,1,3.33,1,2.67,1,13,1,664.33,1,0,0
2025-06-05T16:15:00+02:00,1165,2741,1585,0,70,2740.67,1,17,1,0.33,1,11.33,1,202,1,0,0
2025-06-05T16:30:00+02:00,226,2927,2301,0,75,2763.67,1,45,1,-46.67,1,10,1,7,1,0,0
2025-06-05T16:45:00+02:00,0,4411,3361,0,80,4253.33,1,80.33,1,114.33,1,10,1,7,1,0,0
2025-06-05T17:00:00+02:00,0,4118,3224,0,86,3946.67,1,122,1,88.33,1,10,1,7,1,0,0
2025-06-05T17:15:00+02:00,11,4286,3234,0,91,3956,1,6.67,1,0.67,1,10,1,7,1,0,0
2025-06-05T17:30:00+02:00,336,4367,769,0,99,4359,1,-3270.33,1,-3273,1,10,1,7,1,0,0
2025-06-05T17:45:00+02:00,204,3566,35,0,100,3564.33,1,-3326.67,1,-3313.67,1,6,1,7,1,0,0
2025-06-05T18:00:00+02:00,283,2957,36,0,100,2957.33,1,-2636.67,1,-2613.67,1,5,1,7,1,0,0
2025-06-05T18:15:00+02:00,311,2577,37,0,100,2573,1,-2215,1,-2201,1,5.67,1,7,1,0,0
2025-06-05T18:30:00+02:00,280,1949,38,0,100,1946,1,-1629.33,1,-1630,1,5,1,7,1,0,0
2025-06-05T18:45:00+02:00,265,1215,39,0,99,1209.67,1,-937.33,1,-925.67,1,5,1,7,1,0,0
2025-06-05T19:00:00+02:00,308,508,11,0,98,508,1,-189.67,1,-181.67,1,5,1,7,1,0,0
2025-06-05T19:15:00+02:00,286,853,15,0,98,851,1,-562,1,-567.33,1,5,1,7,1,0,0
2025-06-05T19:30:00+02:00,233,451,7,0,98,451.33,1,-209.67,1,-197.33,1,5,1,7,1,0,0
2025-06-05T19:45:00+02:00,1355,336,0,975,97,343,1,-16.67,1,-11.33,1,5,1,7,1,0,0
